cust_id,country,cur_type,amt,times
0015cc01f553512007705edf855baa16f1b57a16fb107e0882c5cb0535d297a5,1.0,1.0,1053.3214285714287,84
002d6bc6382e759c9a5b6bb2c8dda9add2f38cd87e10ca3efda9a312e97b342c,0.9917127071823204,1.0,13090.121546961325,362
002f13f534d0bd9fcc1848db3ff5c7b1179d117f8de8055b7394696b948ec9b4,1.0,1.0,1985.8592233009708,206
0031e83ddef78e57d17ac5dce088627b7745be8ff6cffcbc0a79aff9fedd93f0,0.026058631921824105,0.990228013029316,1996.3045602605864,614
0032adaf4a8731b4d6a3fdcba32f9ebdcd336490eda155b9bc5d18de6b65f381,1.0,1.0,2092.3333333333335,3
003a2130684d603dd236580830ac21c3ed0c623a37fdfd15a42a8c1ddbf9e429,1.0,1.0,17669.11111111111,9
003be669534ad0a29cce9f22f56f625a545f918b04954702ae012c05dd5af2ad,0.9663461538461539,1.0,2019.5240384615386,208
004fe2a935a6f8e2b171261efa6d53e2cc521709b61ae40ac55d027e7f5763f5,0.99644128113879,1.0,42329.70818505338,562
0068c614b131d745d71672044f1cc660ca30dd71e483389907fcce15c99675cd,1.0,1.0,3047.16,25
00971fcf22900a519c60631453efd4913c5a71135d73a33bcebef64a206c85be,1.0,1.0,7068.058823529412,17
00ba7531f3dc736a163a98c33e84d9086df181b6684e870f6d6d9aa2094bf2e2,1.0,1.0,212.5,2
00eabc23fbb38516c8e9a13f3a8f8d00579ff7baeb2ec87a3763dfa82da1900c,0.8949152542372881,0.9677966101694915,2160.91186440678,590
010f0a437884833140ede0ec8ac7b6f54fb4341a8aea81162162f1c203424468,0.64,1.0,1108.48,50
014e555f692d9a4c693e40cb9c6ff66bdf209510acc7e1c8ab9fb57ef4c1ad01,1.0,1.0,10780.666666666666,3
0174dff6a8a2038f9966d61d8450e19e3bd751e4051c2ace42799d171742acc1,1.0,1.0,1243.191256830601,183
018e8017163e4d9367597019afc6e878c7dfe90d42452ae5a6cae5b2795e0513,0.7402473834443387,0.8534728829686014,7139.126546146527,1051
019d2fcb4b44e7578c1201637f5a983926354f01f111f5cda9a7a5138951cff9,0.9462809917355371,1.0,1377.1198347107438,242
01b8d2adc3fc434003a494076bc0db7612f23ae1e6789b7c36c26b392125db18,1.0,1.0,346.4590163934426,183
01c705b457297805c1c08137cb3adb164b8f393c265db2c3aff0a5484a703302,0.7191780821917808,1.0,4139.164383561644,146
01e846811795df9dbe534fe129d595d6678e3c301e37337da645eade2b9e6789,0.847457627118644,0.9943502824858758,15300.011299435027,177
01fabc3bbd5407fa29aed0e389d5fba1c04d058431b92db44ca81de785dc0bed,1.0,1.0,1893.4927536231885,69
020d9d0ff320b09ea9cc132af94c7d0ae9e24c10c3a34a9768315f21540640b7,0.9908256880733946,1.0,410.74311926605503,109
021b24db10e3c8401e6d7ba959d9a86dc48f46541ba9bc905a10c756515dead1,0.7788732394366197,0.9338028169014084,2309.8549295774646,710
0228a2571356a8fb29b5118288cb8493d2237fae2c5058917c31b4facac7934e,0.9166666666666666,0.9166666666666666,4451.944444444444,36
026935bf1874928f608ed6368fbfdf0585765d05586ee0aed3a158657c8e9703,0.38271604938271603,0.9987654320987654,2196.777777777778,810
027939f7a74c64b85f0d59199d375420c5d1096625c0401a66f09cb8108ad968,1.0,1.0,1938.5,6
0294876396ad41d88e16bf01235111dd8f8239390cddb4a8f8eb537986f128af,1.0,1.0,1986.357142857143,14
02b33be2c1010890f3f598820913ebeb15eff8abbdcd043677c3ffd77d387a69,1.0,1.0,0.0,1
02ca28d01fb9f03ae9cf70d4fca4eea4f2fe493a23e3c3d88d5ebc62376ce865,1.0,1.0,5048.931818181818,44
02cd0aa40bdc174c31de8570c36f84c2f1980deb0ba653e93b811733c2e5477b,1.0,1.0,1552.5416666666667,24
02e2cb9bb3a904b4e44b7e40f54d536ca5941db440ba0065bfc8e8a4ee9def30,1.0,1.0,18112.185185185186,27
02f05c3326e02fe1d7dfa2946a28f5a167ae755e8b7648fb8f74b8e52615b14e,1.0,1.0,1236.6823529411765,170
02f373a818d33bcf3818c0f130bd6f8b99bd767b41aeadc022ac32bb3bd8c52a,0.5894886363636364,0.9914772727272727,4150.177556818182,704
02fd4641b43627645b4671b0c51bc5127b325ce77ef756bb5f4beb1cde324932,0.9565217391304348,0.9565217391304348,7809.173913043478,23
031a651fcac9f62f762d5096e6245a0800987bb2c22ec97bbcdaeca20f2da356,0.841799709724238,0.888243831640058,921.9492017416545,689
03219b1a59b0cf266fe96d1eaec720f1389bab9b8476220766c343266a8a9aaa,0.9797979797979798,0.9797979797979798,8505.121212121212,99
0325a2c4d40da18466aa84f31f00249acff55cb43cda59135e2282855f089dde,1.0,1.0,2053.51572327044,159
032e94d5676d130974762905f6a33084fbcfded590a260b3c81cefc11f861942,1.0,1.0,1727.288,125
035e2ebcd5c23f4dd0f1fc81a1fca8afd3121f7431bb585fa99c22e1a7164dba,0.72,0.98,15143.22,50
03667361a349865dfa37441078fd6f57e7e4efa77df9ae9ede31f9ee840f1d73,1.0,1.0,246.87974683544303,158
0395a8504dd65667c5787e3eb16171b12416c23e6182b1bb7a435452c2a26483,1.0,1.0,5157.5,16
03aa5a29fc548d7f8d2a7c9612891b450967d41ee1aa7fa20c3995ff828bc171,0.9801980198019802,1.0,1010.6881188118812,202
